year,Title,author,journal
"Editorial
Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Jan;50(1):12.
doi: 10.1177/03635465211062864.",AJSM Golden Anniversary,Bruce Reider,am j sports med
"Editorial
Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Jan;50(1):12-13.
doi: 10.1177/03635465211062864a.",AJSM at 50,Robert E Leach,am j sports med
"Editorial
Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Nov;50(13):3475-3476.
doi: 10.1177/03635465221130359.",Measure of Success,Brett D Owens,am j sports med
"Randomized Controlled Trial
Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Mar;50(3):609-617.
doi: 10.1177/03635465211064303.
Epub 2022 Feb 1.",Leukocyte-Rich versus Leukocyte-Poor Platelet-Rich Plasma for the Treatment of Knee Osteoarthritis: A Double-Blind Randomized Trial,"Alessandro Di Martino , Angelo Boffa , Luca Andriolo , Iacopo Romandini , Sante Alessandro Altamura , Annarita Cenacchi , Veronica Roverini , Stefano Zaffagnini , Giuseppe Filardo",am j sports med
"Meta-Analysis
Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2023 Jun;51(7):1927-1942.
doi: 10.1177/03635465221083998.
Epub 2022 Apr 6.",Evidence-Based Hamstring Injury Prevention and Risk Factor Management: A Systematic Review and Meta-analysis of Randomized Controlled Trials,"Samuel S Rudisill , Nathan H Varady , Michael P Kucharik , Christopher T Eberlin , Scott D Martin",am j sports med
"Editorial
Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Sep;50(11):2877-2880.
doi: 10.1177/03635465221119994.",From Good to Great,Timothy E Foster,am j sports med
"Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Mar;50(4):1088-1105.
doi: 10.1177/03635465221073991.
Epub 2022 Feb 18.",Exosomes Derived From Human Urine-Derived Stem Cells Overexpressing miR-140-5p Alleviate Knee Osteoarthritis Through Downregulation of VEGFA in a Rat Model,"Yuan Liu , Yi Zeng , Hai-Bo Si , Li Tang , Hui-Qi Xie , Bin Shen",am j sports med
"Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Aug 23;3635465221100977.
doi: 10.1177/03635465221100977.
Online ahead of print.",Physical Examination Maneuvers for SLAP Lesions: A Systematic Review and Meta-analysis of Individual and Combinations of Maneuvers,"Robert S Dean , Leonard Onsen , Jeniffer Lima , Mark R Hutchinson",am j sports med
"Randomized Controlled Trial
Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Feb;50(2):384-395.
doi: 10.1177/03635465211061150.
Epub 2022 Jan 20.",Predictors of Graft Failure in Young Active Patients Undergoing Hamstring Autograft Anterior Cruciate Ligament Reconstruction With or Without a Lateral Extra-articular Tenodesis: The Stability Experience,"Andrew D Firth, Dianne M Bryant, Robert Litchfield 
, Robert G McCormack 
, Mark Heard 
, Peter B MacDonald 
, Tim Spalding 
, Peter C M Verdonk 
, Devin Peterson 
, Davide Bardana 
, Alex Rezansoff 
, Alan M J Getgood, Kevin Willits, Trevor Birmingham, Chris Hewison, Stacey Wanlin, Ryan Pinto, Ashley Martindale, Lindsey O'Neill, Morgan Jennings, Michal Daniluk 
, Dory Boyer, Mauri Zomar, Karyn Moon, Raely Moon, Brenda Fan, Bindu Mohan 
, Gregory M Buchko, Laurie A Hiemstra, Sarah Kerslake, Jeremy Tynedal 
, Greg Stranges, Sheila Mcrae, LeeAnne Gullett, Holly Brown, Alexandra Legary, Alison Longo, Mat Christian, Celeste Ferguson 
, Nick Mohtadi, Rhamona Barber, Denise Chan, Caitlin Campbell, Alexandra Garven, Karen Pulsifer, Michelle Mayer 
, Nicole Simunovic, Andrew Duong, David Robinson, David Levy, Matt Skelly, Ajaykumar Shanmugaraj 
, Fiona Howells, Murray Tough 
, Pete Thompson, Andrew Metcalfe, Laura Asplin, Alisen Dube, Louise Clarkson, Jaclyn Brown, Alison Bolsover, Carolyn Bradshaw, Larissa Belgrove, Francis Milan, Sylvia Turner, Sarah Verdugo, Janet Lowe, Debra Dunne, Kerri McGowan, Charlie-Marie Suddens 
, Geert Declerq, Kristien Vuylsteke, Mieke Van Haver 
",am j sports med
"Randomized Controlled Trial
Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Aug;50(10):2787-2796.
doi: 10.1177/03635465221110214.
Epub 2022 Jul 22.",Effects of Heavy Slow Resistance Training Combined With Corticosteroid Injections or Tendon Needling in Patients With Lateral Elbow Tendinopathy: A 3-Arm Randomized Double-Blinded Placebo-Controlled Study,"Christian Couppé , Simon Døssing , Per Martin Bülow , Volkert Dirk Siersma , Camilla Kampp Zilmer , Christine Winther Bang , Rikke Høffner , Mathilde Kracht , Paul Hogg , Gabriella Edström , Michael Kjaer , Stig Peter Magnusson",am j sports med
"Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2023 May;51(6):1615-1621.
doi: 10.1177/03635465211069562.
Epub 2022 May 20.",Lower Extremity Injury Rates on Artificial Turf Versus Natural Grass Playing Surfaces: A Systematic Review,"Heath P Gould , Stephen J Lostetter , Eric R Samuelson , Gregory P Guyton",am j sports med
"Meta-Analysis
Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2023 May;51(6):1634-1643.
doi: 10.1177/03635465211065403.
Epub 2022 Feb 11.",Shoulder Stabilization Versus Immobilization for First-Time Anterior Shoulder Dislocation: A Systematic Review and Meta-analysis of Level 1 Randomized Controlled Trials,"John W Belk , Benjamin R Wharton , Darby A Houck , Jonathan T Bravman , Matthew J Kraeutler , Braden Mayer , Thomas J Noonan , Adam J Seidl , Rachel M Frank , Eric C McCarty",am j sports med
"Editorial
Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Apr;50(5):1192-1194.
doi: 10.1177/03635465221087241.",ACL Blasts From the Past,Bruce Reider,am j sports med
"Editorial
Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Mar;50(3):606-608.
doi: 10.1177/03635465221077094.",Onward Into Our Second Half-Century,,am j sports med
"Editorial
Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Feb;50(2):308-310.
doi: 10.1177/03635465211072873.",AJSM in the 21st Century,Bruce Reider,am j sports med
"Review
Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2023 Mar;51(4):1087-1095.
doi: 10.1177/03635465211063890.
Epub 2022 Mar 2.",Core Muscle Injury: Evaluation and Treatment in the Athlete,"Julianne M Forlizzi , Mark B Ward , James Whalen , Thomas H Wuerz , Thomas J Gill th",am j sports med
"Editorial
Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Oct;50(12):3169-3173.
doi: 10.1177/03635465221124138.",ACL Blasts From Past to Present,Bruce Reider,am j sports med
"Randomized Controlled Trial
Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Jun;50(7):1779-1787.
doi: 10.1177/03635465221090527.
Epub 2022 Apr 29.",Acute Anterior Cruciate Ligament Rupture: Repair or Reconstruction? Five-Year Results of a Randomized Controlled Clinical Trial,"Roy A G Hoogeslag , Rianne Huis In 't Veld , Reinoud W Brouwer , Feike de Graaff , Nico Verdonschot",am j sports med
"Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2021 Dec;49(14):3952-3958.
doi: 10.1177/03635465211047485.
Epub 2021 Oct 15.",Arthroscopic Revision Rotator Cuff Repair: The Role of Previously Neglected Subscapularis Tears,"Tae-Hwan Yoon , Sung-Jae Kim , Yun-Rak Choi , Jin-Tae Cho , Yong-Min Chun",am j sports med
"Randomized Controlled Trial
Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Mar;50(3):645-651.
doi: 10.1177/03635465211068532.
Epub 2022 Jan 20.","Why, When, and in Which Patients Nonoperative Treatment of Anterior Cruciate Ligament Injury Fails: An Exploratory Analysis of the COMPARE Trial","Sabine J A van der Graaff , Duncan E Meuffels , Sita M A Bierma-Zeinstra , Eline M van Es , Jan A N Verhaar , Vincent Eggerding , Max Reijman",am j sports med
"Editorial
Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Dec;50(14):3745-3748.
doi: 10.1177/03635465221136834.",Fifty Years of ACL Biomechanics: What's Next?,Braden C Fleming,am j sports med
"Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Oct 3;3635465221119787.
doi: 10.1177/03635465221119787.
Online ahead of print.",Risk Factors for Revision or Rerupture After Anterior Cruciate Ligament Reconstruction: A Systematic Review and Meta-analysis,"Di Zhao , Jian-Ke Pan , Fang-Zheng Lin , Ming-Hui Luo , Gui-Hong Liang , Ling-Feng Zeng , He-Tao Huang , Yan-Hong Han , Nan-Jun Xu , Wei-Yi Yang , Jun Liu",am j sports med
"Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Jul;50(9):2397-2409.
doi: 10.1177/03635465221104470.",Descriptive Characteristics and Outcomes of Patients Undergoing Revision Anterior Cruciate Ligament Reconstruction With and Without Tunnel Bone Grafting,"Steven F DeFroda , Brett D Owens , Rick W Wright , Laura J Huston , Jacquelyn S Pennings , Amanda K Haas , Christina R Allen , Daniel E Cooper , Thomas M DeBerardino , Warren R Dunn 
, Brett Brick A Lantz 
, Kurt P Spindler , Michael J Stuart , John P Albright , Annunziato Ned Amendola , Christopher C Annunziata , Robert A Arciero , Bernard R Bach Jr , Champ L Baker rd , Arthur R Bartolozzi 
, Keith M Baumgarten 
, Jeffery R Bechler , Jeffrey H Berg , Geoffrey A Bernas , Stephen F Brockmeier , Robert H Brophy , Charles A Bush-Joseph , Brad Butler th , James L Carey , James E Carpenter , Brian J Cole , Jonathan M Cooper 
, Charles L Cox , Alexander Creighton 
, Tal S David , David C Flanigan , Robert W Frederick , Theodore J Ganley , Elizabeth A Garofoli , Charles J Gatt Jr , Steven R Gecha , James Robert Giffin , Sharon L Hame , Jo A Hannafin , Christopher D Harner 
, Norman Lindsay Harris Jr 
, Keith S Hechtman , Elliott B Hershman , Rudolf G Hoellrich 
, David C Johnson , Timothy S Johnson , Morgan H Jones , Christopher C Kaeding , Ganesh V Kamath 
, Thomas E Klootwyk , Bruce A Levy , C Benjamin Ma , G Peter Maiers nd , Robert G Marx , Matthew J Matava , Gregory M Mathien , David R McAllister , Eric C McCarty 
, Robert G McCormack 
, Bruce S Miller , Carl W Nissen , Daniel F O'Neill , Richard D Parker , Mark L Purnell , Arun J Ramappa , Michael A Rauh , Arthur C Rettig , Jon K Sekiya , Kevin G Shea , Orrin H Sherman , James R Slauterbeck , Matthew V Smith , Jeffrey T Spang 
, Steven J Svoboda , Timothy N Taft 
, Joachim J Tenuta 
, Edwin M Tingstad 
, Armando F Vidal 
, Darius G Viskontas , Richard A White , James S Williams Jr , Michelle L Wolcott 
, Brian R Wolf , James J York",am j sports med
"Meta-Analysis
Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2023 Mar;51(4):1074-1086.
doi: 10.1177/03635465211062243.
Epub 2022 Mar 22.",How Does Platelet-Rich Plasma Compare Clinically to Other Therapies in the Treatment of Knee Osteoarthritis? A Systematic Review and Meta-analysis,"Lauro Augusto Veloso Costa , Mário Lenza , James J Irrgang , Freddie H Fu , Mário Ferretti",am j sports med
"Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Sep;50(11):3130-3139.
doi: 10.1177/03635465211031250.
Epub 2021 Oct 11.",Are Outcomes of Acute Meniscus Root Tear Repair Better Than Debridement or Nonoperative Management? A Systematic Review,"Kelechi C Eseonu , Jill Neale , Amy Lyons , Stefan Kluzek",am j sports med
"Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Aug;50(10):2740-2752.
doi: 10.1177/03635465221108972.
Epub 2022 Jul 22.",Comparative Effects of Exosomes and Ectosomes Isolated From Adipose-Derived Mesenchymal Stem Cells on Achilles Tendinopathy in a Rat Model,"Tengjing Xu , Yunting Lin , Xinning Yu , Guangyao Jiang , Jiajie Wang , Kaiwang Xu , Jinghua Fang , Siheng Wang , Xuesong Dai",am j sports med
"Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Mar;50(3):662-673.
doi: 10.1177/03635465211072227.
Epub 2022 Feb 28.",Infrapatellar Fat Pad Mesenchymal Stromal Cell-Derived Exosomes Accelerate Tendon-Bone Healing and Intra-articular Graft Remodeling After Anterior Cruciate Ligament Reconstruction,"Junjie Xu , Zipeng Ye , Kang Han , Ting Zheng , Tianlun Zhang , Shikui Dong , Jia Jiang , Xiaoyu Yan , Jiangyu Cai , Jinzhong Zhao",am j sports med
"Randomized Controlled Trial
Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Mar;50(3):618-629.
doi: 10.1177/03635465211072554.",Bone Marrow Aspirate Concentrate Is Equivalent to Platelet-Rich Plasma for the Treatment of Knee Osteoarthritis at 2 Years: A Prospective Randomized Trial,"Adam W Anz , Hillary A Plummer , Achraf Cohen , Peter A Everts , James R Andrews , Joshua G Hackel",am j sports med
"Randomized Controlled Trial
Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Sep;50(11):2881-2892.
doi: 10.1177/03635465221115821.
Epub 2022 Aug 19.",Microfragmented Adipose Tissue Versus Platelet-Rich Plasma for the Treatment of Knee Osteoarthritis: A Prospective Randomized Controlled Trial at 2-Year Follow-up,"Stefano Zaffagnini , Luca Andriolo , Angelo Boffa , Alberto Poggi , Annarita Cenacchi , Maurizio Busacca , Elizaveta Kon , Giuseppe Filardo , Alessandro Di Martino",am j sports med
"Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 May;50(6):1550-1563.
doi: 10.1177/03635465221079651.
Epub 2022 Apr 11.",Abaloparatide Improves Rotator Cuff Healing via Anabolic Effects on Bone Remodeling in a Chronic Rotator Cuff Tear Model of Rat With Osteoporosis: A Comparison With Denosumab,"Junjie Xu , Zipeng Ye , Chang'an Chen , Xueying Zhang , Kang Han , Xiulin Wu , Ziyun Li , Jia Jiang , Xiaoyu Yan , Jiangyu Cai , Jinzhong Zhao",am j sports med
"Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Jul;50(8):2247-2257.
doi: 10.1177/03635465221095568.
Epub 2022 May 23.",Muscle-Derived Beige Adipose Precursors Secrete Promyogenic Exosomes That Treat Rotator Cuff Muscle Degeneration in Mice and Are Identified in Humans by Single-Cell RNA Sequencing,"Michael R Davies , Steven Garcia , Mengyao Liu , Hannah Chi , Hubert T Kim , Robert L Raffai , Xuhui Liu , Brian T Feeley",am j sports med
"Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Feb;50(2):423-432.
doi: 10.1177/03635465211060333.
Epub 2022 Jan 18.","Patient-Reported Outcome, Return to Sport, and Revision Rates 7-9 Years After Anterior Cruciate Ligament Reconstruction: Results From a Cohort of 2042 Patients","Per-Henrik Randsborg , Nicholas Cepeda , Dakota Adamec , Scott A Rodeo , Anil Ranawat , Andrew D Pearle",am j sports med
"Randomized Controlled Trial
Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Jun;50(7):1867-1875.
doi: 10.1177/03635465221090644.
Epub 2022 Apr 19.","A Randomized Controlled Trial Comparing a Patella-Stabilizing, Motion-Restricting Knee Brace Versus a Neoprene Nonhinged Knee Brace After a First-Time Traumatic Patellar Dislocation","Essi E Honkonen , Petri J Sillanpää , Aleksi Reito , Heikki Mäenpää , Ville M Mattila",am j sports med
"Meta-Analysis
Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Dec;50(14):3987-3997.
doi: 10.1177/03635465211039822.
Epub 2021 Sep 30.",Biceps Tenodesis Versus Superior Labral Anterior and Posterior (SLAP) Lesion Repair for the Treatment of SLAP Lesion in Overhead Athletes: A Systematic Review and Meta-analysis,"Myung Ho Shin , Samuel Baek , Tae Min Kim , HyunTae Kim , Kyung-Soo Oh , Seok Won Chung",am j sports med
"Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Feb;50(2):395-403.
doi: 10.1177/03635465211061123.
Epub 2021 Dec 13.",Revision Anterior Cruciate Ligament Reconstruction Using Bone-Patellar Tendon-Bone Graft Combined With Modified Lemaire Technique Versus Hamstring Graft Combined With Anterolateral Ligament Reconstruction: A Clinical Comparative Matched Study With a Mean Follow-up of 5 Years From The SANTI Study Group,"Johnny Rayes , Herve Ouanezar , Ibrahim M Haidar , Cedric Ngbilo , Thomas Fradin , Thais Dutra Vieira , Benjamin Freychet , Bertrand Sonnery-Cottet",am j sports med
"Editorial
Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Jul;50(8):2068-2069.
doi: 10.1177/03635465221106153.","Communication in Sports Medicine: AJSM, Editorial Stewardship, and a Culture of Evidence",David C Landy,am j sports med
"Comment
Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Dec;50(14):NP61-NP64.
doi: 10.1177/03635465221125441.",Anatomic Anterior Talofibular Ligament Repair: Response,"Sung Hyun Lee, Je Heon Yang, Isac Kim",am j sports med
"Editorial
Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 May;50(6):1482-1485.
doi: 10.1177/03635465221091821.",Top 5 AJSM Papers in Translational Biology Over the Past 50 Years,Scott A Rodeo,am j sports med
"Editorial
Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Aug;50(10):2595-2597.
doi: 10.1177/03635465221113347.",Top 5 AJSM Papers in Epidemiology and Statistics Over the Past 50 Years,James L Carey,am j sports med
"Editorial
Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Jun;50(7):1775-1778.
doi: 10.1177/03635465221100985.",Top 5 AJSM Papers in Pediatric Sports Medicine Over the Past 50 Years,Theodore J Ganley,am j sports med
"Review
Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2023 Feb;51(2):545-556.
doi: 10.1177/03635465211045705.
Epub 2021 Nov 12.",Tunnel Management in Revision Anterior Cruciate Ligament Reconstruction: Current Concepts,"Theodore S Wolfson , Brian Mannino , Brett D Owens , Brian R Waterman , Michael J Alaia",am j sports med
"Editorial
Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Jan;50(1):14-18.
doi: 10.1177/03635465211061370.",Presidential Address of the American Orthopaedic Society for Sports Medicine: We Are a Part of All That We Have Met: Striving for Excellence Through AOSSM,Michael G Ciccotti,am j sports med
"Comment
Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Mar;50(4):NP25-NP26.
doi: 10.1177/03635465221074950.",Arthroscopic Versus Open Anterior Shoulder Stabilization: Response,"Craig R Bottoni, Liang Zhou, Christian R Cruz",am j sports med
"Comment
Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2021 Dec;49(14):NP69-NP70.
doi: 10.1177/03635465211042631.",Stem Cells 101: Letter to the Editor,Arnold I Caplan,am j sports med
"Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 May;50(6):1644-1650.
doi: 10.1177/03635465221080788.
Epub 2022 Apr 11.",Opioid Use After Simple Arthroscopic Knee Surgery,"Michael J Scarcella , Lutul D Farrow , Morgan H Jones , James Rosneck , Isaac Briskin , Kurt P Spindler",am j sports med
"Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Oct;50(12):3318-3325.
doi: 10.1177/03635465221118369.
Epub 2022 Aug 26.",Relationship of the SIRSI Score to Return to Sports After Surgical Stabilization of Glenohumeral Instability,"Luciano Andrés Rossi , Ignacio Pasqualini , Rodrigo Brandariz , Nora Fuentes , Cecilia Fieiras , Ignacio Tanoira , Maximiliano Ranalletta",am j sports med
"Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Mar;50(4):1013-1019.
doi: 10.1177/03635465221075349.
Epub 2022 Mar 7.",Effectiveness of Nonoperative Management of Hip Microinstability,"Leandro Ejnisman , Katerina Elisman , Marc R Safran",am j sports med
"Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Aug 15;3635465221116358.
doi: 10.1177/03635465221116358.
Online ahead of print.",Pharmacological Therapies for Connective Tissue Fibrosis in Orthopaedics,"Nathaniel P Disser , Jonathan S Yu , Vincent J H Yao , Scott A Rodeo",am j sports med
"Review
Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Mar;50(3):681-688.
doi: 10.1177/03635465211068872.
Epub 2022 Jan 19.",Association of Sex Mismatch Between Donor and Recipient With Graft Survivorship at 5 Years After Osteochondral Allograft Transplantation,"Gergo Merkely , Evan M Farina , Chilan B G Leite , Jakob Ackermann , Simon Görtz , Christian Lattermann , Andreas H Gomoll",am j sports med
"Review
Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2023 Jan;51(1):279-297.
doi: 10.1177/03635465211051757.
Epub 2022 Apr 19.",A Practical Guide to Lower Extremity Nerve Blocks for the Sports Medicine Surgeon,"Connor R Crutchfield , Eric A Schweppe , Ajay S Padaki , Gabrielle K Steinl , Brian A Roller , Anthony R Brown , T Sean Lynch",am j sports med
"Comment
Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Dec;50(14):NP61.
doi: 10.1177/03635465221125442.",Anatomic Anterior Talofibular Ligament Repair: Letter to the Editor,"Shikai Xiong, Xing Xie, Qinwei Guo",am j sports med
"Multicenter Study
Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Jan;50(1):79-84.
doi: 10.1177/03635465211056666.
Epub 2021 Nov 22.",Age-Adjusted Normative Values for Hip Patient-Reported Outcome Measures,"Zachary T Sharfman , Nathan Safran , Eyal Amar , Kunal Varshneya , Marc R Safran , Ehud Rath",am j sports med
"Review
Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Nov;50(13):3493-3501.
doi: 10.1177/03635465221128261.
Epub 2022 Oct 18.",Clinical Outcomes After Combined ACL and Anterolateral Ligament Reconstruction Versus Isolated ACL Reconstruction With Bone-Patellar Tendon-Bone Grafts: A Matched-Pair Analysis of 2018 Patients From the SANTI Study Group,"Charles Pioger , Lampros Gousopoulos , Graeme P Hopper , Thais Dutra Vieira , Joao Pedro Campos , Abdo El Helou , Corentin Philippe , Adnan Saithna , Bertrand Sonnery-Cottet",am j sports med
"Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Feb;50(2):526-536.
doi: 10.1177/03635465211060340.
Epub 2021 Dec 13.",Epidemiology of Concussions in National Collegiate Athletic Association (NCAA) Sports: 2014/15-2018/19,"Avinash Chandran , Adrian J Boltz , Sarah N Morris , Hannah J Robison , Aliza K Nedimyer , Christy L Collins , Johna K Register-Mihalik",am j sports med
